schoolid,suburb,schoolname,region,address,longitude,latitude
1,ELWOOD,Yesodei HaTorah College,,"39 Dickens St, Elwood VIC 3184",144.9836,-37.8729
2,ST KILDA EAST,Yeshivah College,,"1 Empress Rd, St Kilda East VIC 3183",145.0013,-37.8687
3,YEA,Yea High School,,"Racecourse Rd, Yea VIC 3717",145.397,-37.2154
4,YARRAWONGA,Yarrawonga College P-12,,"Pinniger St, Yarrawonga VIC 3730",146.0054,-36.022
5,YARRAM,Yarram Secondary College,,"86 James St, Yarram VIC 3971",146.6836,-38.5662
6,RINGWOOD,Yarra Valley Grammar School,,"Kalinda Rd, Ringwood VIC 3134",145.2552,-37.7873
7,MOOROOLBARK,Yarra Hills Secondary College,,"16 Reay Road, Mooroolbark VIC 3138",145.3155,-37.7882
8,KEW,Xavier College,,"135 Barkers Rd, Kew VIC 3101",145.0358,-37.8146
9,WERRIBEE,Wyndham Central Secondary College,SOUTH WEST,"101 Shaws Rd, Werribee VIC 3030",144.6539,-37.889
10,WYCHEPROOF,Wycheproof P-12 College,,"McKenzie Cres, Wycheproof VIC 3527",143.2283,-36.0752
11,LANGWARRIN SOUTH,Woodleigh School,,"485 Golf Links Rd, Langwarrin South VIC 3911",145.1736,-38.1926
12,WONTHAGGI,Wonthaggi Secondary College,,"S Dudley Rd, Wonthaggi VIC 3995",145.5794,-38.5979
13,WODONGA,Wodonga Senior Secondary College,,"80 Brockley St, Wodonga VIC 3690",146.8807,-36.1274
14,WILLIAMSTOWN,Williamstown High School,INNER WEST,"76 Pasco St, Williamstown VIC 3016",144.8951,-37.863
15,RESERVOIR,William Ruthven Secondary College,,"60 Merrilands Rd, Reservoir VIC 3073",145.0032,-37.6968
16,WHITTLESEA,Whittlesea Secondary College,,"Laurel St, Whittlesea VIC 3757",145.1222,-37.5149
17,DONVALE,Whitefriars College,,"156-158 Park Rd, Donvale VIC 3111",145.1986,-37.7901
18,WHEELERS HILL,Wheelers Hill Secondary College,,"Raphael Dr, Wheelers Hill VIC 3150",145.1824,-37.9101
19,HASTINGS,Western Port Secondary College,,"215 High St, Hastings VIC 3915",145.1753,-38.3094
20,HAMLYN HEIGHTS,Western Heights Secondary College,,"37-61 Vines Rd, Hamlyn Heights VIC 3215",144.3282,-38.1228
21,GEELONG NORTH,Western Heights College,,"37-61 Vines Rd, Hamlyn Heights VIC 3215",144.3282,-38.1228
22,TRUGANINA,Westbourne Grammar School,SOUTH WEST,"300 Sayers Rd, Truganina VIC 3029",144.7233,-37.8519
23,CLAYTON SOUTH,Westall Secondary College,,"88 Rosebank Ave, Clayton South VIC 3169",145.1363,-37.9402
24,MELBOURNE,Wesley College,,"577 St Kilda Rd, Melbourne VIC 3004",144.9801,-37.8485
25,WERRIMULL,Werrimull P-12 School,,"King St, Werrimull VIC 3496",141.5968,-34.3887
26,WERRIMULL,WERRIMULL P-12 COLLEGE,,"King St, Werrimull VIC 3496",141.5968,-34.3887
27,WERRIBEE,Werribee Secondary College,SOUTH WEST,"Duncans Rd, Werribee VIC 3030",144.6727,-37.9073
28,MULGRAVE,Wellington Secondary College,,"91 Police Rd, Mulgrave VIC 3170",145.1691,-37.9345
29,WEDDERBURN,Wedderburn College,,"15-29 Hospital St, Wedderburn VIC 3518",143.6176,-36.4171
30,WANTIRNA SOUTH,Waverley Christian College,,"1248 High St Rd, Wantirna South VIC 3152",145.2148,-37.8792
31,WARRNAMBOOL,Warrnambool College,,"Grafton Rd, Warrnambool VIC 3280",142.5025,-38.379
32,WARRANDYTE,Warrandyte High School,,"241-247 Heidelberg-Warrandyte Rd, Warrandyte VIC 3113",145.1846,-37.7482
33,WARRAGUL,Warragul Regional College,,"55 Burke St, Warragul VIC 3820",145.9246,-38.1642
34,WARRACKNABEAL,Warracknabeal Secondary College,,"Tregear St, Warracknabeal VIC 3393",142.3903,-36.2621
35,WANTIRNA,Wantirna College,,"90 Harold St, Wantirna VIC 3152",145.23,-37.8578
36,WANGARATTA,Wangaratta High School,,"17-49 Edwards St, Wangaratta VIC 3677",146.3091,-36.3433
37,SHEPPARTON,Wanganui Park Secondary College,,"Parkside Dr, Shepparton VIC 3630",145.3867,-36.3565
38,WALLAN,Wallan Secondary College,,"100 Duke St, Wallan VIC 3756",144.9807,-37.4167
39,ROSANNA,Viewbank College,,"1 Warren Rd, Viewbank VIC 3084",145.0864,-37.741
40,WEST WODONGA,Victory Lutheran College,,"28 Drage Rd, West Wodonga VIC 3690",146.8466,-36.117
41,STRATHDALE,Victory Christian College,,"6 Kairn Rd, Strathdale VIC 3550",144.3133,-36.7836
42,SOUTHBANK,Victorian College of the Arts,,"234 St Kilda Rd, Southbank VIC 3006",144.9702,-37.8247
43,MELBOURNE,Victorian College for the Deaf,,"597 St Kilda Rd, Melbourne VIC 3004",144.9809,-37.8497
44,ST ALBANS,Victoria University Secondary College,NORTH WEST,"88 Billingham Rd, Deer Park VIC 3023",144.7666,-37.7593
45,DEER PARK,Victoria University SC,NORTH WEST,"88 Billingham Rd, Deer Park VIC 3023",144.7666,-37.7593
46,SUNSHINE NORTH,Victoria Uni TAFE,NORTH WEST,"Ballarat Road, Footscray VIC 3011",144.8972,-37.7935
47,FOOTSCRAY,Victoria Uni of Tech - TAFE,INNER WEST,"Ballarat Road, Footscray VIC 3011",144.8972,-37.7935
48,VERMONT,Vermont Secondary College,,"27-63 Morack Rd, Vermont VIC 3133",145.1997,-37.8439
49,UPWEY,Upwey High School,,"1451 Burwood Hwy, Upwey VIC 3158",145.3329,-37.9041
50,YARRA JUNCTION,Upper Yarra Secondary College,,"81-89 Little Yarra Rd, Yarra Junction VIC 3797",145.6246,-37.7925
51,PARKVILLE,University High School,,"77 Story St, Parkville VIC 3052",144.9567,-37.797
52,SEA LAKE,Tyrrell College,,"10 Sutcliff St, Sea Lake VIC 3533",142.8523,-35.5093
53,KEW,Trinity Grammar School,,"119 Prospect Rd, Summer Hill NSW 2130",151.1308,-33.8995
54,COLAC,Trinity College Colac,,"119 Hart St, Colac VIC 3250",143.579,-38.3507
55,TRARALGON,Traralgon College,,"154-184 Grey St, Traralgon VIC 3844",146.5195,-38.1914
56,TRAFALGAR,Trafalgar High School,,"84 School Rd, Trafalgar VIC 3824",146.1597,-38.2149
57,MOUNT ELIZA,Toorak College,,"Old Mornington Rd, Mount Eliza VIC 3930",145.0942,-38.1738
58,RINGWOOD EAST,Tintern Schools,,"90 Alexandra Road, Ringwood East VIC 3135",145.2565,-37.8164
59,TIMBOON,Timboon P-12 School,,"Bailey Street, Timboon VIC 3268",142.9726,-38.4831
60,THORNBURY,Thornbury High School,,"238 Collins St., Thornbury VIC 3071",-37.7565,-37.7565
61,THOMASTOWN,Thomastown Secondary College,,"80-96 Main St, Thomastown VIC 3074",145.002,-37.6789
62,TARNEIT,Thomas Carr College,SOUTH WEST,"35 Thomas Carr Dr, Tarneit VIC 3029",144.7022,-37.8477
63,MOUNT ELIZA,The Peninsula School,,"20 Wooralla Dr, Mount Eliza VIC 3930",145.0926,-38.197
64,MELBOURNE,THE MERIDIAN INTERNATIONAL SCHOOL,,"123-129 Lonsdale St Melbourne, VIC, 3000",144.9686,-37.8106
65,WANTIRNA SOUTH,The Knox School,,"220 Burwood Hwy, Wantirna South VIC 3152",145.2194,-37.8641
66,ARMADALE,The King David School,,"517 Orrong Rd, Armadale VIC 3143",145.0108,-37.8585
67,HAMILTON,The Hamilton and Alexandra College,,"1 Chaucer St, Hamilton VIC 3300",142.0245,-37.7373
68,HOPPERS CROSSING,The Grange P-12 College,SOUTH WEST,"Callistemon Dr, Hoppers Crossing VIC 3029",144.6785,-37.8591
69,NEWTOWN,The Geelong College,,"Talbot Street, Newtown VIC 3220",144.3403,-38.1515
70,WANGARATTA,The Centre,,"Chilsom Street,Wangaratta VIC 3677",146.328103,-36.356568
71,TERANG,Terang College,,"45 Strong St, Terang VIC 3264",142.9206,-38.2462
72,TEMPLESTOWE LOWER,Templestowe College,,"7 Cypress Ave, Templestowe Lower VIC 3107",145.1216,-37.7675
73,TAYLORS LAKES,Taylors Lakes Secondary College,NORTH WEST,"1-39 Parmelia Dr, Taylors Lakes VIC 3038",144.7933,-37.707
74,MELBOURNE,Taylors College,,"965 Bourke St, Waterloo NSW 2017",151.2075,-33.9025
75,TARNEIT,Tarneit Senior College,SOUTH WEST,"861 Leakes Rd, Tarneit VIC 3029",144.6804,-37.8333
76,TALLANGATTA,Tallangatta Secondary College,,"140 Towong St, Tallangatta VIC 3700",147.1744,-36.2171
77,BRUNSWICK,Sydney Road Community School,,"350 Sydney Rd, Brunswick VIC 3056",144.962,-37.7699
78,CROYDON,Swinburne University Of Tech,,"John St, Hawthorn VIC 3122",145.039,-37.8218
79,HAWTHORN,Swinburne Senior Secondary College,,"505 Burwood Rd., Hawthorn VIC 3122",145.0408,-37.8231
80,SWIFTS CREEK,Swifts Creek School,,"Great Alpine Rd, Swifts Creek VIC 3896",147.8163,-37.3592
81,SWAN HILL,Swan Hill College,,"10-32 Pye St, Swan Hill VIC 3585",143.5531,-35.3348
82,WERRIBEE,Suzanne Cory High School,SOUTH WEST,"225 Hoppers Ln, Werribee VIC 3030",144.7008,-37.8939
83,TORQUAY,Surf Coast Secondary College,,"75 White St, Torquay VIC 3228",144.3279,-38.3052
84,SUNSHINE,Sunshine College,NORTH WEST,"Northumberlan Road, Sunshine, VIC 3020",144.8416,-37.772
85,SUNBURY,Sunbury Downs Secondary College,,"148-174 Mitchells Ln, Sunbury VIC 3429",144.7058,-37.5842
86,SUNBURY,Sunbury College,,"30 Racecourse Rd, Sunbury VIC 3429",144.7291,-37.5733
87,STRATHMORE,Strathmore Secondary College,,"400 Pascoe Vale Rd, Strathmore VIC 3041",144.9268,-37.7377
88,CANTERBURY,Strathcona Baptist Girls Grammar School,,"34 Scott St, Canterbury VIC 3126",145.0804,-37.8292
89,MELBOURNE,Stotts College,,"252 Lygon St, Carlton VIC 3053",144.9671,-37.8013
90,STAWELL,Stawell Secondary College,,"79-97 Patrick St, Stawell VIC 3380",142.7892,-37.062
91,MELTON SOUTH,Staughton College,,"26-46 Wilson Rd, Melton VIC 3337",144.5687,-37.7085
92,BRIGHTON,Star of the Sea College,,"Martin St, Brighton VIC 3186",144.9961,-37.8964
93,TYNONG,St Thomas Aquinas College,,"1 Tynong Rd, Tynong VIC 3813",145.6237,-38.0832
94,CRANBOURNE,St Peter's College,,"57 Hackney Rd, Hackney SA 5069",138.6141,-34.9149
95,WARRAGUL,St Pauls Anglican Grammar School,,"150 Bowen St, Warragul VIC 3820",145.9299,-38.1463
96,BALLARAT,St Patrick's College,,"60 Park Parade, Shorncliffe QLD 4017",153.0826,-27.3238
97,EPPING,St Monica's College,,"16 Davisson St, Epping VIC 3076",145.0296,-37.6512
98,ST KILDA,St Michaels Grammar School,,"25 Chapel St, St Kilda VIC 3182",144.9916,-37.8594
99,COOLAROO,St Mary's Coptic Orth College,,"19-35 Thorpdale Ave, Coolaroo VIC 3048",144.9314,-37.6556
100,NATHALIA,St Mary of the Angels School,,"Wirruna Street, Guyra NSW 2365",151.677,-30.216
101,SWAN HILL,St Mary MacKillop College,,"Erindale Dr, Wanniassa ACT 2903",149.0963,-35.4066
102,BERWICK,St Margaret's School,,"27-47 Gloucester Ave, Berwick VIC 3806",145.3472,-38.0357
103,BRIGHTON EAST,St Leonard's College,,"163 South Rd, Brighton East VIC 3187",145.0074,-37.9285
104,TOORAK,St Kevins College,,"31 Moonga Rd, Toorak VIC 3142",145.0276,-37.8394
105,FERNTREE GULLY,St Joseph's College,,"Mark Street,Hunters Hill, NSW 2110",151.1382,-33.8302
106,NEWTOWN,St Josephs College,,"Mark Street,Hunters Hill, NSW 2111",151.1382,-33.8302
107,DANDENONG,St John's Regional College,,"5-11 Caroline St, Dandenong VIC 3175",145.2258,-37.9904
108,PRESTON,St Johns Greek Orthodox College,,"21 Railway Place, West Preston VIC 3072",144.9993,-37.7482
109,ELTHAM,St Helena Secondary College,,"Wallowa Rd, Eltham North VIC 3095",145.1399,-37.6866
110,BEACONSFIELD,St Francis Xavier College,,"Barnard Circuit, Florey ACT 2615",149.0397,-35.2259
111,ESSENDON,St Columba's College,,"2 Leslie Rd, Essendon VIC 3040",144.9138,-37.7575
112,TOORAK,St Catherines School,,"17 Heyington Pl, Toorak VIC 3142",145.0218,-37.8378
113,HORSHAM,St Brigid's College,,"200 Lesmurdie Rd, Lesmurdie WA 6076",116.0526,-31.9961
114,ESSENDON,St Bernard's College,,"41 Rosehill Rd, Essendon VIC 3040",144.883,-37.7485
115,MENTONE,St Bede's College,,"2 Mentone Parade, Mentone VIC 3194",145.0651,-37.9904
116,KYABRAM,St Augustine's College,,"Federal Parade, Brookvale NSW 2100",151.2741,-33.7588
117,ST ARNAUD,St Arnaud Secondary College,,"Smith St, St Arnaud VIC 3478",143.2514,-36.6103
118,FRANKSTON NORTH,St Anthony's Coptic Orthodox College,,"15 Alpina St, Frankston North VIC 3200",145.1581,-38.1203
119,WANTIRNA SOUTH,St Andrews Christian College,,"130 Tyner Rd, Wantirna South VIC 3152",145.2447,-37.8741
120,NORTH MELBOURNE,St Aloysius College,,"47 Upper Pitt St, Kirribilli NSW 2061",151.2141,-33.8487
121,ST ALBANS,St Albans Secondary College,NORTH WEST,"289 Main Rd E, St Albans VIC 3021",144.8074,-37.7451
122,SPRINGVALE,SPRINGVALE SECONDARY COLLEGE,,"8-20 Janine Rd, Springvale South VIC 3172",145.1595,-37.9668
123,RINGWOOD,Southwood Boys Grammar,,"Maidstone St, Ringwood VIC 3134",145.2248,-37.8262
124,WARRNAMBOOL,South West Institute of TAFE,,"39 Hammond St, Hamilton VIC 3300",142.0061,-37.7266
125,OAKLEIGH SOUTH,South Oakleigh Secondary College,,"Bakers Rd, Oakleigh South VIC 3167",145.0896,-37.9222
126,FOSTER,South Gippsland Secondary College,,"Pioneer St & Hoddle Road, Foster VIC 3960",146.197,-38.6525
127,LEONGATHA,South Coast Christian College,,"101 Horn St, Leongatha VIC 3953",145.9605,-38.4702
128,SOMERVILLE,Somerville Secondary College,,"37 Graf Rd, Somerville VIC 3912",145.1687,-38.2269
129,KEYSBOROUGH,Sirius College - Keysborough,,"139 Chapel Rd, Keysborough VIC 3173",145.161,-38.0048
130,BROADMEADOWS,Sirius College,,"515 Fitzgerald Rd, Sunshine West VIC 3020",144.7902,-37.7861
131,WEST MELBOURNE,Simonds Catholic College,,"273 Victoria St, West Melbourne VIC 3003",144.9524,-37.8058
132,CAMBERWELL,Siena College,,"815 Riversdale Rd, Camberwell VIC 3124",145.0824,-37.8343
133,SASSAFRAS,Sherbrooke Community School,,"311 Mount Dandenong Tourist Rd, Sassafras VIC 3787",145.3499,-37.8687
134,SHEPPARTON,Shepparton High School,,"31-71 Hawdon St, Shepparton VIC 3630",145.4151,-36.3729
135,SHEPPARTON,Shepparton Christian College,,"155 Verney Rd, Shepparton VIC 3630",145.4157,-36.3539
136,CAULFIELD,Shelford Girls' Grammar,,"3 Hood Cres, Caulfield VIC 3161",145.0118,-37.8775
137,SEYMOUR,Seymour College,,"546 Portrush Rd, Glen Osmond SA 5064",138.6479,-34.9565
138,HAWTHORN,Scotch College,,"1 Morrison St, Hawthorn VIC 3122",145.0295,-37.8339
139,SCORESBY,Scoresby Secondary College,,"2 Cavell St, Scoresby VIC 3179",145.236,-37.8897
140,NORTHCOTE,Santa Maria College,,"18 Stoneham Rd, Attadale WA 6156",115.7958,-32.0186
141,SANDRINGHAM,Sandringham College,,"11 Holloway Rd, Sandringham VIC 3191",145.0246,-37.9572
142,PRESTON,SAMARITAN CATHOLIC COLLEGE,,"8 Clifton Grv; Preston, Victoria, Australia 3072",145.0047,-37.744
143,CHADSTONE,Salesian College,,"Bosco St, Chadstone VIC 3148",145.1002,-37.8824
144,SALE,Sale College,,"PO Box 231, SALE VIC 3850",147.073,-38.1026
145,DRYSDALE,Saint Ignatius College,,"2 Manresa Ct, Athelstone SA 5076",138.6992,-34.8751
146,OAKLEIGH,Sacred Heart Girls' College,,"113 Warrigal Rd, Oakleigh VIC 3166",145.0865,-37.902
147,HUGHESDALE,Sacred Heart Girls College,,"113 Warrigal Rd, Oakleigh VIC 3166",145.0865,-37.902
148,NEWTOWN,Sacred Heart College,,"95-235 Brighton Rd, Somerton Park SA 5044",138.5212,-34.997
149,GLEN IRIS,Sacre Coeur,,"172 Burke Rd, Glen Iris VIC 3146",145.0531,-37.8629
150,KEW,Ruyton Girls School,,"12 Selbourne Rd, Kew VIC 3101",145.0387,-37.8124
151,RESERVOIR,Ruthven Secondary College,,"60 Merrilands Rd, Reservoir VIC 3073",145.0032,-37.6968
152,RUTHERGLEN,Rutherglen High School,,"Sheridan’s Bridge Road, Rutherglen VIC 3685",146.4431,-36.0795
153,RUSHWORTH,Rushworth P-12 College,,"Heily St, Rushworth VIC 3612",145.0156,-36.5846
154,ROXBURGH PARK,Roxburgh College,,"60-70 Donald Cameron Dr, Roxburgh Park VIC 3064",144.9298,-37.6305
155,ROWVILLE,Rowville Secondary College,,"Paratea Dr, Rowville VIC 3178",145.2368,-37.9239
156,NIDDRIE,Rosehill Secondary College,,"Sapphire St, Niddrie VIC 3042",144.8862,-37.7474
157,ROSEBUD,Rosebud Secondary College,,"245 Eastbourne Rd, Rosebud VIC 3939",144.8869,-38.3674
158,ROCHESTER,Rochester Secondary College,,"Edward St, Rochester VIC 3561",144.6985,-36.3551
159,ROBINVALE,Robinvale P-12 College,,"186 Latje Rd, Robinvale VIC 3549",142.7822,-34.589
160,CARLTON,RMIT TAFE,,"124 La Trobe St, Melbourne VIC 3000",144.9648,-37.8074
161,RINGWOOD,Ringwood Secondary College,,"Bedford Rd, Ringwood VIC 3134",145.2362,-37.816
162,RESERVOIR,Reservoir High School,,"855 Plenty Rd, Reservoir VIC 3073",145.0303,-37.7223
163,RED CLIFFS,Red Cliffs Secondary College,,"55 Fitzroy Ave, Red Cliffs VIC 3496",142.1947,-34.3008
164,RAINBOW,Rainbow P-12 College,,"7 Albert St, Rainbow VIC 3424",141.9949,-35.8945
165,PRINCES HILL,Princes Hill Secondary College,,"Arnold Street, Carlton North VIC 3054",144.9651,-37.7846
166,PRESTON,Preston Girls Secondary College,,"Cooma St, Preston, VIC 3072",145.0063,-37.7412
167,KEW,Preshil - The Margaret Lyttle Secondary College,,"395 Barkers Rd, Kew VIC 3101",145.0358,-37.8146
168,WINDSOR,Presentation College,,"187 Dandenong Rd, Windsor VIC 3181",144.995,-37.8572
169,BURWOOD,Presbyterian Ladies College,,"141 Burwood Hwy, Burwood VIC 3125",145.1071,-37.8489
170,PORTLAND,Portland Secondary College,,"Must St, Portland VIC 3305",141.6031,-38.3596
171,POINT COOK,Point Cook Senior Secondary College,SOUTH WEST,"Cnr Boardwalk Boulevard and Bergamot Drive, Point Cook VIC 3030",144.7325,-37.8862
172,DOREEN,Plenty Valley Christian College,,"840 Yan Yean Rd, Doreen VIC 3754",145.1373,-37.6119
173,SEBASTOPOL,Phoenix P-12 Community College,,"Hertford Street, Sebastopol VIC 3356",143.8334,-37.5862
174,LALOR,Peter Lalor Secondary College,,"35 Duncan Rd, Lalor VIC 3075",145.0107,-37.6673
175,BROADMEADOWS,Penola Catholic College,,"29 Gibson St, Broadmeadows VIC 3047",144.9198,-37.6888
176,KEILOR EAST,Penleigh and Essendon Grammar,NORTH WEST,"Keilor Rd & Rachelle Rd, Keilor East VIC 3033",144.8717,-37.7303
177,MOOROOLBARK,Pembroke Secondary College,,"16 Reay Road, Mooroolbark VIC 3138",145.3155,-37.7882
178,CARRUM,Patterson River Secondary College,,"70-98 Eel Race Rd, Seaford VIC 3198",145.1343,-38.0835
179,PASCOE VALE,Pascoe Vale Girls Secondary College,,"Lake Ave, Pascoe Vale VIC 3044",144.9355,-37.7174
180,RINGWOOD NORTH,Parkwood Secondary College,,"Byron St, Ringwood VIC 3134",145.2373,-37.8001
181,MORDIALLOC,Parkdale Secondary College,,"Warren Rd, Mordialloc VIC 3195",145.0927,-37.9929
182,BUNDOORA,Parade College,,"1436 Plenty Rd, Bundoora VIC 3083",145.0652,-37.6902
183,PAKENHAM,Pakenham Secondary College,,"1020 Princes Hwy, Pakenham VIC 3810",145.4712,-38.0689
184,MORNINGTON,Padua College,,"80 Turner Rd, Kedron QLD 4031",153.0252,-27.4077
185,MELBOURNE,Ozford College,,"815 George Street, Sydney, NSW 2000",151.2034,-33.8829
186,CHIRNSIDE PARK,Oxley Christian College,,"15-49 Old Melbourne Rd, Chirnside Park VIC 3116",145.3062,-37.7632
187,KEILOR,Overnewton Anglican Community College,,"2-30 Overnewton Rd, Keilor VIC 3036",144.8217,-37.7063
188,OUYEN,Ouyen P-12 College,,"1-35 Fuller St, Ouyen VIC 3490",142.3208,-35.0641
189,BOX HILL,Our Lady of Sion College,,"1065 Whitehorse Rd, Box Hill VIC 3128",145.1296,-37.8186
190,BENTLEIGH,Our Lady of Sacred Heart College,,"496 Regency Rd, Enfield SA 5085",138.604,-34.873
191,HEIDELBERG,Our Lady of Mercy College,,"Victoria Rd, Parramatta NSW 2150",151.0151,-33.8088
192,ORBOST,Orbost Secondary College,,"2 Arnold St, Orbost VIC 3888",148.466,-37.7055
193,BELMONT,Oberon High School,,"12 Pickett Cres, Belmont VIC 3216",144.3374,-38.1867
